"id","price","asset_id","timestamp"
"4294309463",0.5,"59618391","2022-03-20 14:24:17"
"4294144336",0.58,"59607287","2022-03-20 14:16:06"
"4294040505",0.5,"58681151","2022-03-20 14:11:23"
"4293952002",0.549,"59594564","2022-03-20 14:07:13"
"4293891914",0.55,"59577843","2022-03-20 14:04:17"
"4293873036",0.5,"59631039","2022-03-20 14:03:05"
"4293727583",0.5,"58206426","2022-03-20 13:56:09"
"4293322794",0.545,"59624159","2022-03-20 13:37:03"
"4293045922",0.7,"59617413","2022-03-20 13:24:40"
"4292918850",0.5,"58212442","2022-03-20 13:18:54"
"4292877068",0.545,"59607726","2022-03-20 13:16:56"
"4292870867",0.53,"58786794","2022-03-20 13:16:52"
"4292754542",0.5,"59624489","2022-03-20 13:11:00"
"4292629399",0.5,"59135963","2022-03-20 13:05:11"
"4292415173",0.5,"59112518","2022-03-20 12:54:41"
"4292375051",0.84,"59516916","2022-03-20 12:52:49"
"4292360362",0.55,"58367723","2022-03-20 12:52:10"
"4292212666",0.64,"58104682","2022-03-20 12:44:50"
"4292212436",0.496,"59610495","2022-03-20 12:44:50"
"4292169554",0.5,"59631772","2022-03-20 12:42:48"
"4292165115",0.499,"59631476","2022-03-20 12:42:46"
"4292012892",0.5,"58953433","2022-03-20 12:35:04"
"4291969432",0.6,"59631611","2022-03-20 12:32:20"
"4291942812",0.49,"59122628","2022-03-20 12:31:36"
"4291934488",0.49,"59600708","2022-03-20 12:31:16"
"4291916752",0.49,"59615475","2022-03-20 12:30:21"
"4291883063",0.499,"58248287","2022-03-20 12:28:44"
"4291876134",0.49,"58206962","2022-03-20 12:28:08"
"4291848850",0.49,"59581647","2022-03-20 12:27:12"
"4291847989",0.48,"59549254","2022-03-20 12:26:55"
"4291824844",0.45,"59629706","2022-03-20 12:25:45"
"4291818635",0.475,"59587165","2022-03-20 12:25:30"
"4291802177",0.475,"59240259","2022-03-20 12:24:40"
"4292237439",0.45,"58104465","2022-03-20 12:23:51"
"4291732980",0.449,"59125949","2022-03-20 12:21:28"
"4291625707",0.44,"59624159","2022-03-20 12:15:38"
"4291591075",0.435,"59572403","2022-03-20 12:14:11"
"4291536666",0.439,"59587190","2022-03-20 12:11:57"
"4291505001",0.43,"59631459","2022-03-20 12:10:32"
"4291497216",0.59,"59630813","2022-03-20 12:10:11"
"4291449285",0.44,"59593940","2022-03-20 12:07:31"
"4291352012",0.47,"59241386","2022-03-20 12:03:48"
"4291151031",0.45,"59594337","2022-03-20 11:54:15"
"4290984558",0.4,"59373503","2022-03-20 11:46:58"
"4291369302",0.825,"58247075","2022-03-20 11:45:15"
"4290889413",0.55,"59630634","2022-03-20 11:42:31"
"4290578196",0.52,"58572257","2022-03-20 11:28:00"
"4290497844",0.53,"59596489","2022-03-20 11:23:46"
"4290474940",0.5,"59239737","2022-03-20 11:22:48"
"4290471516",0.5,"59279480","2022-03-20 11:22:45"
"4290450820",0.5,"59629704","2022-03-20 11:21:38"
"4290730001",0.5,"59612022","2022-03-20 11:12:05"
"4290203042",0.49,"59618172","2022-03-20 11:09:35"
"4290192643",0.479,"58910004","2022-03-20 11:09:32"
"4289698904",0.549,"59429221","2022-03-20 10:46:05"
"4289414242",0.45,"59244425","2022-03-20 10:32:33"
"4289200671",0.525,"59629573","2022-03-20 10:20:54"
"4289133683",0.589,"59628207","2022-03-20 10:18:36"
"4289031138",0.66,"59616057","2022-03-20 10:13:13"
"4288778657",0.399,"58657846","2022-03-20 10:00:41"
"4288694061",0.49,"59593493","2022-03-20 09:56:47"
"4287665624",0.45,"59593509","2022-03-20 09:06:45"
"4287315506",0.4,"59631741","2022-03-20 08:50:18"
"4287148093",0.385,"59549277","2022-03-20 08:42:00"
"4286617016",0.65,"59629564","2022-03-20 08:16:26"
"4286253836",0.499,"59600696","2022-03-20 07:59:52"
"4284862592",0.384,"59594675","2022-03-20 06:56:27"
"4284804912",0.285,"59631459","2022-03-20 06:54:02"
"4284443534",0.45,"58477652","2022-03-20 06:36:37"
"4283386151",2,"59113572","2022-03-20 05:47:31"
"4283275119",0.777,"59541005","2022-03-20 05:42:37"
